"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,031;0,0005166667;1674739244,215;0,0875027601
1;0,144;0,0024;1674739244,467;0,0874818763
2;0,395;0,0065833333;1674739244,642;0,0874704214
3;0,57;0,0095;1674739244,856;0,0875048595
4;0,784;0,0130666667;1674739244,963;0,0875172352
5;0,891;0,01485;1674739245,074;0,0874659279
6;1,002;0,0167;1674739245,167;0,0875249331
7;1,095;0,01825;1674739245,263;0,087483239
8;1,191;0,01985;1674739245,356;0,0875217655
9;1,284;0,0214;1674739245,449;0,0874443074
10;1,377;0,02295;1674739245,546;0,0874654859
11;1,474;0,0245666667;1674739245,647;0,0874903845
12;1,575;0,02625;1674739245,75;0,0875495738
13;1,678;0,0279666667;1674739245,865;0,0875695001
14;1,793;0,0298833333;1674739245,963;0,0874858541
15;1,891;0,0315166667;1674739246,06;0,0874848597
16;1,988;0,0331333333;1674739246,154;0,0874321159
17;2,082;0,0347;1674739246,251;0,0875294635
18;2,179;0,0363166667;1674739246,344;0,0874810659
19;2,272;0,0378666667;1674739246,454;0,0874984507
20;2,382;0,0397;1674739246,562;0,104886455
21;2,49;0,0415;1674739246,661;0,104935626
22;2,589;0,04315;1674739246,752;0,104922219
23;2,68;0,0446666667;1674739246,847;0,104916841
24;2,775;0,04625;1674739246,94;0,104916326
25;2,868;0,0478;1674739247,033;0,104997504
26;2,961;0,04935;1674739247,141;0,104974189
27;3,069;0,05115;1674739247,264;0,104943876
28;3,192;0,0532;1674739247,357;0,104978867
29;3,285;0,05475;1674739247,453;0,10495732
30;3,381;0,05635;1674739247,544;0,0875192241
31;3,472;0,0578666667;1674739247,64;0,0874553202
32;3,568;0,0594666667;1674739247,735;0,0874716369
33;3,663;0,06105;1674739247,829;0,0874655228
34;3,757;0,0626166667;1674739247,937;0,0874767197
35;3,865;0,0644166667;1674739248,046;0,0874730365
36;3,974;0,0662333333;1674739248,138;0,0874778247
37;4,066;0,0677666667;1674739248,236;0,0874696848
38;4,164;0,0694;1674739248,328;0,0874886902
39;4,256;0,0709333333;1674739248,422;0,0875220234
40;4,35;0,0725;1674739248,514;0,0875028706
41;4,442;0,0740333333;1674739248,606;0,0875105317
42;4,534;0,0755666667;1674739248,698;0,087474252
43;4,626;0,0771;1674739248,808;0,0875152462
44;4,736;0,0789333333;1674739248,932;0,0874775669
45;4,86;0,081;1674739249,026;0,0874864803
46;4,954;0,0825666667;1674739249,119;0,0874597033
47;5,047;0,0841166667;1674739249,211;0,087436499
48;5,139;0,08565;1674739249,305;0,0875043439
49;5,233;0,0872166667;1674739249,414;0,0874247863
50;5,342;0,0890333333;1674739249,536;0,0874502742
51;5,464;0,0910666667;1674739249,635;0,0874286537
52;5,566;0,0927666667;1674739249,729;0,0874811764
53;5,665;0,0944166667;1674739249,838;0,0875021708
54;5,766;0,0961;1674739249,931;0,0874823182
55;5,866;0,0977666667;1674739250,037;0,0874684693
56;5,965;0,0994166667;1674739250,167;0,0874551361
57;6,095;0,1015833333;1674739250,26;0,0874728892
58;6,188;0,1031333333;1674739250,353;0,0875422811
59;6,281;0,1046833333;1674739250,446;0,0874540679
60;6,374;0,1062333333;1674739250,539;0,0874826497
61;6,467;0,1077833333;1674739250,636;0,0874388562
62;6,564;0,1094;1674739250,73;0,0874469225
63;6,665;0,1110833333;1674739250,86;0,0875221339
64;6,788;0,1131333333;1674739250,951;0,0875015447
65;6,879;0,11465;1674739251,045;0,0874970143
66;6,973;0,1162166667;1674739251,139;0,0874717106
67;7,067;0,1177833333;1674739251,231;0,0875054489
68;7,166;0,1194333333;1674739251,344;0,0874532208
69;7,272;0,1212;1674739251,469;0,0875291688
70;7,397;0,1232833333;1674739251,562;0,0874467752
71;7,49;0,1248333333;1674739251,656;0,0874589298
72;7,584;0,1264;1674739251,749;0,0875048227
73;7,677;0,12795;1674739251,847;0,0875146937
74;7,775;0,1295833333;1674739251,957;0,0874886165
75;7,885;0,1314166667;1674739252,096;0,0874519317
76;8,024;0,1337333333;1674739252,2;0,0874685062
77;8,128;0,1354666667;1674739252,299;0,104866676
78;8,227;0,1371166667;1674739252,424;0,104915884
79;8,352;0,1392;1674739252,534;0,104977983
80;8,462;0,1410333333;1674739252,627;0,104971647
81;8,555;0,1425833333;1674739252,719;0,104920635
82;8,647;0,1441166667;1674739252,814;0,104948259
83;8,742;0,1457;1674739252,923;0,105032273
84;8,851;0,1475166667;1674739253,047;0,10496546
