"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,094;0,0015666667;1674728949,719;0,0929455651
1;0,205;0,0034166667;1674728949,921;0,0930115316
2;0,407;0,0067833333;1674728950,124;0,0756501206
3;0,61;0,0101666667;1674728950,265;0,0755638964
4;0,751;0,0125166667;1674728950,421;0,075789862
5;0,907;0,0151166667;1674728950,521;0,0756389236
6;1,007;0,0167833333;1674728950,614;0,0758130294
7;1,1;0,0183333333;1674728950,722;0,0756229384
8;1,208;0,0201333333;1674728950,83;0,0757852211
9;1,316;0,0219333333;1674728950,922;0,075608316
10;1,408;0,0234666667;1674728951,022;0,0756238961
11;1,508;0,0251333333;1674728951,114;0,0755719258
12;1,6;0,0266666667;1674728951,204;0,0757717774
13;1,69;0,0281666667;1674728951,295;0,0757484257
14;1,781;0,0296833333;1674728951,389;0,0757109306
15;1,875;0,03125;1674728951,483;0,075549274
16;1,969;0,0328166667;1674728951,577;0,075599992
17;2,063;0,0343833333;1674728951,669;0,0755686846
18;2,155;0,0359166667;1674728951,765;0,0755973769
19;2,251;0,0375166667;1674728951,855;0,0758191436
20;2,341;0,0390166667;1674728951,964;0,0755833806
21;2,45;0,0408333333;1674728952,073;0,0755924414
22;2,559;0,04265;1674728952,166;0,0756383711
23;2,652;0,0442;1674728952,259;0,0756942456
24;2,745;0,04575;1674728952,354;0,0755787398
25;2,84;0,0473333333;1674728952,448;0,075739144
26;2,934;0,0489;1674728952,541;0,0756005813
27;3,027;0,05045;1674728952,634;0,0756950191
28;3,12;0,052;1674728952,736;0,0755857747
29;3,222;0,0537;1674728952,839;0,0757978546
30;3,325;0,0554166667;1674728952,949;0,0755680585
31;3,435;0,05725;1674728953,041;0,0756028649
32;3,527;0,0587833333;1674728953,134;0,075636198
33;3,62;0,0603333333;1674728953,24;0,0756226438
34;3,726;0,0621;1674728953,334;0,0757993278
35;3,82;0,0636666667;1674728953,427;0,0755745778
36;3,913;0,0652166667;1674728953,52;0,0756049275
37;4,006;0,0667666667;1674728953,613;0,0755925887
38;4,099;0,0683166667;1674728953,726;0,0755944671
39;4,212;0,0702;1674728953,835;0,0755757195
40;4,321;0,0720166667;1674728953,928;0,0757677995
41;4,414;0,0735666667;1674728954,02;0,0757361606
42;4,506;0,0751;1674728954,115;0,0757778547
43;4,601;0,0766833333;1674728954,207;0,0756799547
44;4,693;0,0782166667;1674728954,308;0,0756431961
