"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,063;0,00105;1674476705,501;0,13150796
1;0,235;0,0039166667;1674476705,685;0,131516984
2;0,419;0,0069833333;1674476705,887;0,113742684
3;0,621;0,01035;1674476706,112;0,11377657
4;0,846;0,0141;1674476706,317;0,113757969
5;1,051;0,0175166667;1674476706,519;0,113759664
6;1,253;0,0208833333;1674476706,705;0,113763973
7;1,439;0,0239833333;1674476706,858;0,113768798
8;1,592;0,0265333333;1674476706,981;0,113762905
9;1,715;0,0285833333;1674476707,133;0,113773549
10;1,867;0,0311166667;1674476707,257;0,113779627
11;1,991;0,0331833333;1674476707,412;0,113765373
12;2,146;0,0357666667;1674476707,529;0,113762463
13;2,263;0,0377166667;1674476707,661;0,113761505
14;2,395;0,0399166667;1674476707,796;0,113759848
15;2,53;0,0421666667;1674476707,933;0,113779258
16;2,667;0,04445;1674476708,074;0,113756791
17;2,808;0,0468;1674476708,214;0,113764304
18;2,948;0,0491333333;1674476708,353;0,113765483
19;3,087;0,05145;1674476708,482;0,113762279
20;3,216;0,0536;1674476708,657;0,11377447
21;3,391;0,0565166667;1674476708,81;0,113780326
22;3,544;0,0590666667;1674476708,95;0,113761247
23;3,684;0,0614;1674476709,09;0,113766588
24;3,887;0,0647833333;1674476709,295;0,113765152
25;4,086;0,0681;1674476709,484;0,113777012
26;4,285;0,0714166667;1674476709,687;0,113759958
27;4,485;0,07475;1674476709,874;0,131461515
28;4,686;0,0781;1674476710,109;0,13151529
29;4,885;0,0814166667;1674476710,31;0,131518347
30;5,091;0,08485;1674476710,478;0,131530391
31;5,285;0,0880833333;1674476710,681;0,113755502
32;5,485;0,0914166667;1674476710,883;0,113778816
33;5,686;0,0947666667;1674476711,109;0,11376633
34;5,886;0,0981;1674476711,328;0,113774986
35;6,085;0,1014166667;1674476711,474;0,113782205
36;6,285;0,10475;1674476711,663;0,113782094
37;6,485;0,1080833333;1674476711,88;0,113763457
38;6,692;0,1115333333;1674476712,115;0,113771229
39;6,886;0,1147666667;1674476712,312;0,113767251
40;7,085;0,1180833333;1674476712,497;0,1137604
41;7,285;0,1214166667;1674476712,698;0,113770934
42;7,486;0,1247666667;1674476712,893;0,113765815
43;7,685;0,1280833333;1674476713,08;0,113781579
44;7,892;0,1315333333;1674476713,283;0,11378563
45;8,086;0,1347666667;1674476713,471;0,11378331
46;8,285;0,1380833333;1674476713,694;0,113765041
47;8,486;0,1414333333;1674476713,901;0,113781763
48;8,686;0,1447666667;1674476714,1;0,11376471
49;8,897;0,1482833333;1674476715,214;0,113779627
50;9,948;0,1658;1674476715,369;0,131539599
51;10,249;0,1708166667;1674476715,653;0,113776901
52;10,549;0,1758166667;1674476715,935;0,113763273
53;10,856;0,1809333333;1674476716,264;0,113783273
54;11,149;0,1858166667;1674476716,56;0,113776312
55;11,45;0,1908333333;1674476716,859;0,113772187
56;11,75;0,1958333333;1674476717,142;0,113783641
57;12,049;0,2008166667;1674476717,441;0,113795833
58;12,349;0,2058166667;1674476717,743;0,113777711
59;12,649;0,2108166667;1674476718,073;0,113781026
60;12,949;0,2158166667;1674476718,357;0,113795244
61;13,249;0,2208166667;1674476718,644;0,113780216
62;13,548;0,2258;1674476718,971;0,113783936
63;13,85;0,2308333333;1674476719,276;0,11378331
64;14,15;0,2358333333;1674476719,543;0,13144925
65;14,449;0,2408166667;1674476719,875;0,131552343
66;14,75;0,2458333333;1674476720,213;0,131569138
67;15,056;0,2509333333;1674476720,458;0,113777122
68;15,349;0,2558166667;1674476720,751;0,113777638
69;15,649;0,2608166667;1674476721,093;0,113799406
70;15,948;0,2658;1674476721,391;0,113774139
71;16,249;0,2708166667;1674476721,637;0,113793954
72;16,55;0,2758333333;1674476721,965;0,113785078
73;16,855;0,2809166667;1674476722,277;0,11379075
74;17,149;0,2858166667;1674476722,548;0,113809092
75;17,45;0,2908333333;1674476722,846;0,113795612
76;17,75;0,2958333333;1674476723,161;0,113785409
77;18,049;0,3008166667;1674476723,493;0,113786772
78;18,35;0,3058333333;1674476723,767;0,11377749
79;18,649;0,3108166667;1674476724,063;0,113787656
80;18,949;0,3158166667;1674476724,377;0,131444351
81;19,249;0,3208166667;1674476724,69;0,131561661
82;19,549;0,3258166667;1674476724,957;0,131552785
83;19,849;0,3308166667;1674476725,24;0,11377366
84;20,149;0,3358166667;1674476725,585;0,113792739
85;20,46;0,341;1674476725,891;0,113789461
86;20,749;0,3458166667;1674476726,161;0,113799553
87;21,049;0,3508166667;1674476726,442;0,113797122
88;21,348;0,3558;1674476726,773;0,113793181
89;21,649;0,3608166667;1674476727,071;0,113779627
90;21,949;0,3658166667;1674476727,384;0,113801652
91;22,25;0,3708333333;1674476727,66;0,113789424
92;22,549;0,3758166667;1674476727,958;0,113796938
93;22,848;0,3808;1674476728,271;0,113787546
94;23,149;0,3858166667;1674476728,569;0,113793844
95;23,449;0,3908166667;1674476728,835;0,113795722
96;23,756;0,3959333333;1674476729,177;0,113807324
97;24,049;0,4008166667;1674476729,443;0,131546376
98;24,349;0,4058166667;1674476729,789;0,131580078
99;24,649;0,4108166667;1674476730,055;0,113807766
100;24,961;0,4160166667;1674476730,368;0,113804599
101;25,249;0,4208166667;1674476730,679;0,11379819
102;25,55;0,4258333333;1674476730,991;0,113799995
103;25,85;0,4308333333;1674476731,272;0,113781026
104;26,15;0,4358333333;1674476731,538;0,11380703
105;26,449;0,4408166667;1674476731,853;0,113793586
106;26,75;0,4458333333;1674476732,179;0,11379808
107;27,049;0,4508166667;1674476732,46;0,113810124
108;27,349;0,4558166667;1674476732,742;0,113799884
109;27,649;0,4608166667;1674476733,071;0,113808319
110;27,949;0,4658166667;1674476733,384;0,113800547
111;28,249;0,4708166667;1674476733,665;0,113792334
112;28,555;0,4759166667;1674476733,948;0,113791192
113;28,849;0,4808166667;1674476734,243;0,131554553
114;29,149;0,4858166667;1674476734,572;0,131592379
115;29,449;0,4908166667;1674476734,903;0,113787509
116;29,749;0,4958166667;1674476735,163;0,113798374
117;30,049;0,5008166667;1674476735,446;0,113811118
118;30,35;0,5058333333;1674476735,776;0,113807177
119;30,649;0,5108166667;1674476736,088;0,113820105
120;30,949;0,5158166667;1674476736,369;0,113802389
121;31,249;0,5208166667;1674476736,652;0,113803825
122;31,548;0,5258;1674476736,934;0,113805851
123;31,856;0,5309333333;1674476737,294;0,113823862
124;32,153;0,5358833333;1674476737,568;0,113799774
125;32,449;0,5408166667;1674476737,896;0,113826551
126;32,749;0,5458166667;1674476738,178;0,113825114
127;33,049;0,5508166667;1674476738,463;0,113813733
128;33,35;0,5558333333;1674476738,746;0,113828061
129;33,649;0,5608166667;1674476739,075;0,131559857
130;33,95;0,5658333333;1674476739,342;0,131602103
131;34,25;0,5708333333;1674476739,681;0,131609727
132;34,549;0,5758166667;1674476739,977;0,113830234
133;34,85;0,5808333333;1674476740,32;0,113829276
134;35,15;0,5858333333;1674476740,589;0,113817895
135;35,449;0,5908166667;1674476740,855;0,113812223
136;35,749;0,5958166667;1674476741,137;0,11382924
137;36,049;0,6008166667;1674476741,467;0,113812628
138;36,349;0,6058166667;1674476741,78;0,113811266
139;36,649;0,6108166667;1674476742,064;0,113826219
140;36,949;0,6158166667;1674476742,347;0,113898042
141;37,249;0,6208166667;1674476742,615;0,0000017377
142;37,549;0,6258166667;1674476742,944;0,0000006379
143;37,85;0,6308333333;1674476743,29;-0,0000009839
144;38,149;0,6358166667;1674476743,57;0,0000005862
145;38,449;0,6408166667;1674476743,838;-0,0000003708
146;38,749;0,6458166667;1674476744,168;0,000001354
147;39,05;0,6508333333;1674476744,466;-0,0000013172
148;39,349;0,6558166667;1674476744,747;-0,0000002737
149;39,65;0,6608333333;1674476745,092;-0,0000004268
150;39,949;0,6658166667;1674476745,358;0,0000015395
151;40,249;0,6708166667;1674476745,686;-0,0000014809
152;40,549;0,6758166667;1674476745,98;-0,0000014361
153;40,849;0,6808166667;1674476746,254;0,0000015363
154;41,149;0,6858166667;1674476746,554;0,0000000029
155;41,449;0,6908166667;1674476746,883;-0,0000015414
156;41,749;0,6958166667;1674476747,195;-0,0000014883
157;42,049;0,7008166667;1674476747,445;-0,0000013882
158;42,351;0,70585;1674476747,78;0,0000014835
159;42,649;0,7108166667;1674476748,093;-0,0000015083
160;42,948;0,7158;1674476748,359;-0,0000016214
161;43,249;0,7208166667;1674476748,657;-0,0000016241
162;43,55;0,7258333333;1674476748,97;0,0000014719
