"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,11;0,0018333333;1674740988,355;0,0971518763
1;0,348;0,0058;1674740988,664;0,0971551175
2;0,658;0,0109666667;1674740988,853;0,0971534969
3;0,846;0,0141;1674740989,024;0,0971509187
4;1,017;0,01695;1674740989,148;0,097157438
5;1,141;0,0190166667;1674740989,26;0,0971561857
6;1,253;0,0208833333;1674740989,368;0,0971374749
7;1,361;0,0226833333;1674740989,49;0,0971493717
8;1,483;0,0247166667;1674740989,626;0,0971516553
9;1,619;0,0269833333;1674740989,733;0,0971456148
10;1,726;0,0287666667;1674740989,856;0,0971518763
11;1,849;0,0308166667;1674740989,992;0,0971520236
12;1,985;0,0330833333;1674740990,108;0,0971420789
13;2,101;0,0350166667;1674740990,245;0,097160716
14;2,238;0,0373;1674740990,353;0,0971440679
15;2,346;0,0391;1674740990,458;0,0971354123
16;2,451;0,04085;1674740990,598;0,0971873089
17;2,591;0,0431833333;1674740990,708;0,0971582114
18;2,701;0,0450166667;1674740990,823;0,0971634416
19;2,816;0,0469333333;1674740991,082;0,114477818
20;3,075;0,05125;1674740991,251;0,114605994
21;3,244;0,0540666667;1674740991,435;0,114633802
22;3,428;0,0571333333;1674740991,605;0,114634428
23;3,598;0,0599666667;1674740991,765;0,114628425
24;3,758;0,0626333333;1674740991,876;0,114641242
25;3,869;0,0644833333;1674740992,031;0,114650193
26;4,024;0,0670666667;1674740992,125;0,0971320237
27;4,118;0,0686333333;1674740992,222;0,0971567013
28;4,215;0,07025;1674740992,327;0,09715195
29;4,32;0,072;1674740992,461;0,0971400532
30;4,454;0,0742333333;1674740992,578;0,0971572538
31;4,571;0,0761833333;1674740992,687;0,0971575853
32;4,68;0,078;1674740992,806;0,0971717657
33;4,799;0,0799833333;1674740992,939;0,097156775
34;5,001;0,08335;1674740993,123;0,0971586903
35;5,201;0,0866833333;1674740993,31;0,097161158
36;5,401;0,0900166667;1674740993,53;0,097141195
37;5,6;0,0933333333;1674740993,733;0,0971577694
38;5,801;0,0966833333;1674740993,935;0,0971636994
39;6,001;0,1000166667;1674740994,123;0,0971598321
40;6,2;0,1033333333;1674740994,322;0,0971540126
41;6,401;0,1066833333;1674740994,528;0,0971736441
42;6,6;0,11;1674740994,746;0,09714009
43;6,801;0,11335;1674740994,938;0,0971596479
44;7,001;0,1166833333;1674740995,111;0,0971434786
45;7,201;0,1200166667;1674740995,313;0,0971635889
46;7,401;0,12335;1674740995,519;0,0971404215
47;7,6;0,1266666667;1674740995,751;0,0971578063
48;7,8;0,13;1674740995,952;0,0971502557
49;8,001;0,13335;1674740996,124;0,0971617842
50;8,2;0,1366666667;1674740996,313;0,097162263
51;8,4;0,14;1674740996,517;0,0971897766
52;8,6;0,1433333333;1674740996,741;0,0971520236
53;8,8;0,1466666667;1674740996,942;0,0971332392
54;9;0,15;1674740997,132;0,114488868
55;9,2;0,1533333333;1674740997,328;0,114613471
56;9,4;0,1566666667;1674740997,528;0,114652476
57;9,6;0,16;1674740997,718;0,114664778
58;9,801;0,16335;1674740997,939;0,114668167
59;10;0,1666666667;1674740998,128;0,114669971
60;10,201;0,1700166667;1674740998,334;0,0971528339
61;10,4;0,1733333333;1674740998,522;0,0971737915
62;10,6;0,1766666667;1674740998,74;0,0971611212
63;10,801;0,1800166667;1674740998,942;0,097193865
64;11,001;0,18335;1674740999,114;0,0971730548
65;11,201;0,1866833333;1674740999,311;0,09714602
66;11,401;0,1900166667;1674740999,53;0,0971841045
67;11,6;0,1933333333;1674740999,749;0,0971514711
