"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,156;0,0026;1674743737,486;0,118797941
1;0,375;0,00625;1674743737,783;0,118794294
2;0,672;0,0112;1674743738,049;0,101092443
3;0,938;0,0156333333;1674743738,314;0,101080178
4;1,203;0,02005;1674743738,692;0,101097379
5;1,581;0,02635;1674743738,93;0,101097342
6;1,819;0,0303166667;1674743739,118;0,101076163
7;2,007;0,03345;1674743739,287;0,101085224
8;2,176;0,0362666667;1674743739,488;0,10110655
9;2,377;0,0396166667;1674743739,708;0,101072591
10;2,597;0,0432833333;1674743739,894;0,101091412
11;2,783;0,0463833333;1674743740,079;0,101097489
12;2,968;0,0494666667;1674743740,283;0,101087802
13;3,172;0,0528666667;1674743740,465;0,101084966
14;3,354;0,0559;1674743740,651;0,101110454
15;3,54;0,059;1674743740,831;0,101100436
16;3,751;0,0625166667;1674743740,972;0,10109248
17;3,941;0,0656833333;1674743741,255;0,101093069
18;4,144;0,0690666667;1674743741,442;0,101091117
19;4,342;0,0723666667;1674743741,626;0,101100215
20;4,542;0,0757;1674743741,799;0,101075721
21;4,742;0,0790333333;1674743742,024;0,101092738
22;4,942;0,0823666667;1674743742,183;0,101085519
23;5,142;0,0857;1674743742,452;0,101087508
24;5,341;0,0890166667;1674743742,638;0,101086218
25;5,541;0,09235;1674743742,818;0,101095721
26;5,741;0,0956833333;1674743743,005;0,118696026
27;5,941;0,0990166667;1674743743,237;0,118773373
28;6,141;0,10235;1674743743,376;0,118795915
29;6,342;0,1057;1674743743,657;0,118796651
30;6,546;0,1091;1674743743,834;0,118809874
31;6,741;0,11235;1674743744,022;0,101089165
32;6,941;0,1156833333;1674743744,208;0,101087434
33;7,141;0,1190166667;1674743744,429;0,101081578
34;7,341;0,12235;1674743744,66;0,101075316
35;7,549;0,1258166667;1674743744,846;0,101078005
36;7,741;0,1290166667;1674743745,032;0,101079736
37;7,941;0,13235;1674743745,217;0,101096937
38;8,141;0,1356833333;1674743745,402;0,101100694
39;8,341;0,1390166667;1674743745,633;0,101088023
40;8,542;0,1423666667;1674743745,856;0,101071412
41;8,745;0,14575;1674743746,043;0,101084524
42;8,942;0,1490333333;1674743746,227;0,101068318
43;9,142;0,1523666667;1674743746,41;0,101076679
44;9,341;0,1556833333;1674743746,597;0,101080988
45;9,542;0,1590333333;1674743746,815;0,10106865
46;9,742;0,1623666667;1674743746,976;0,101070381
47;9,942;0,1657;1674743747,249;0,101068944
48;10,142;0,1690333333;1674743747,418;0,101069533
49;10,341;0,17235;1674743747,606;0,101084708
50;10,541;0,1756833333;1674743747,793;0,101056163
51;10,741;0,1790166667;1674743748,025;0,101061725
52;10,941;0,18235;1674743748,18;0,101097231
53;11,141;0,1856833333;1674743748,446;0,101081504
54;11,342;0,1890333333;1674743748,632;0,101065003
55;11,541;0,19235;1674743748,823;0,101077452
56;11,742;0,1957;1674743749,01;0,101090012
57;11,941;0,1990166667;1674743749,232;0,118724829
58;12,141;0,20235;1674743749,387;0,118768438
59;12,341;0,2056833333;1674743749,653;0,118796025
60;12,542;0,2090333333;1674743749,837;0,11880085
61;12,741;0,21235;1674743750,023;0,118788438
62;12,942;0,2157;1674743750,242;0,101072591
63;13,142;0,2190333333;1674743750,428;0,101077637
64;13,342;0,2223666667;1674743750,586;0,101071301
65;13,541;0,2256833333;1674743750,851;0,101055537
66;13,74;0,229;1674743751,037;0,101071964
67;13,941;0,23235;1674743751,221;0,101097231
68;14,141;0,2356833333;1674743751,409;0,101086292
69;14,342;0,2390333333;1674743751,642;0,101078226
70;14,541;0,24235;1674743751,86;0,101082462
71;14,749;0,2458166667;1674743752,039;0,101075058
72;14,941;0,2490166667;1674743752,223;0,101069828
73;15,142;0,2523666667;1674743752,454;0,101080694
74;15,343;0,2557166667;1674743752,64;0,10107318
75;15,542;0,2590333333;1674743752,828;0,1010776
76;15,742;0,2623666667;1674743752,982;0,101074653
77;15,942;0,2657;1674743753,246;0,101070491
78;16,142;0,2690333333;1674743753,432;0,101060841
79;16,342;0,2723666667;1674743753,617;0,101095942
80;16,542;0,2757;1674743753,804;0,101070307
81;16,742;0,2790333333;1674743754,04;0,101077673
82;16,942;0,2823666667;1674743754,228;0,101079331
83;17,142;0,2857;1674743754,384;0,101090307
84;17,341;0,2890166667;1674743754,653;0,101074506
85;17,542;0,2923666667;1674743754,835;0,10108725
86;17,742;0,2957;1674743755,022;0,101099957
87;17,941;0,2990166667;1674743755,208;0,118681551
88;18,142;0,3023666667;1674743755,426;0,118770537
89;18,341;0,3056833333;1674743755,642;0,118787038
90;18,541;0,3090166667;1674743755,814;0,11878295
91;18,741;0,31235;1674743755,979;0,118807296
92;18,941;0,3156833333;1674743756,241;0,101057084
93;19,146;0,3191;1674743756,416;0,101080473
94;19,341;0,32235;1674743756,617;0,10105911
95;19,542;0,3257;1674743756,803;0,101089939
96;19,742;0,3290333333;1674743757,025;0,101076384
97;19,942;0,3323666667;1674743757,226;0,101070786
98;20,141;0,3356833333;1674743757,369;0,101092959
99;20,341;0,3390166667;1674743757,645;0,101084377
100;20,541;0,34235;1674743757,83;0,101081946
101;20,741;0,3456833333;1674743758,049;0,101073843
102;20,941;0,3490166667;1674743758,23;0,101083125
103;21,142;0,3523666667;1674743758,419;0,101064082
104;21,341;0,3556833333;1674743758,572;0,101085924
