"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,047;0,0007833333;1674816025,937;0,107095134
1;0,295;0,0049166667;1674816026,286;0,107117565
2;0,641;0,0106833333;1674816026,808;0,107134398
3;1,164;0,0194;1674816027,198;0,0896130611
4;1,553;0,0258833333;1674816027,566;0,0895980336
5;1,921;0,0320166667;1674816027,938;0,0895824167
6;2,293;0,0382166667;1674816028,174;0,0895987702
7;2,529;0,04215;1674816028,429;0,0896232268
8;2,784;0,0464;1674816028,676;0,089580391
9;3,031;0,0505166667;1674816029,005;0,0895851055
10;3,36;0,056;1674816029,286;0,0895927666
11;3,641;0,0606833333;1674816029,436;0,0895974075
12;3,791;0,0631833333;1674816029,527;0,0895775549
13;3,882;0,0647;1674816029,622;0,089600796
14;3,977;0,0662833333;1674816029,715;0,089590041
15;4,07;0,0678333333;1674816029,811;0,0896041109
16;4,166;0,0694333333;1674816029,907;0,0896110354
17;4,262;0,0710333333;1674816030,001;0,0896246265
18;4,356;0,0726;1674816030,092;0,0896002435
19;4,447;0,0741166667;1674816030,186;0,0895849213
20;4,541;0,0756833333;1674816030,28;0,0896070207
21;4,643;0,0773833333;1674816030,406;0,0895769288
22;4,761;0,07935;1674816030,5;0,0896041846
23;4,855;0,0809166667;1674816030,592;0,0895977389
24;4,947;0,08245;1674816030,686;0,0895833744
25;5,041;0,0840166667;1674816030,788;0,0895994701
26;5,143;0,0857166667;1674816030,88;0,0896003172
27;5,243;0,0873833333;1674816030,991;0,0896009065
28;5,346;0,0891;1674816031,101;0,0896262471
29;5,456;0,0909333333;1674816031,194;0,0895742768
30;5,549;0,0924833333;1674816031,287;0,089612435
31;5,642;0,0940333333;1674816031,391;0,0896014958
32;5,746;0,0957666667;1674816031,482;0,0895828587
33;5,843;0,0973833333;1674816031,593;0,0896166707
34;5,948;0,0991333333;1674816031,688;0,0895996174
35;6,043;0,1007166667;1674816031,813;0,0895958237
36;6,168;0,1028;1674816031,906;0,107041949
37;6,261;0,10435;1674816032,001;0,107093514
38;6,356;0,1059333333;1674816032,095;0,107129425
39;6,45;0,1075;1674816032,189;0,107138302
40;6,544;0,1090666667;1674816032,281;0,107164268
41;6,643;0,1107166667;1674816032,391;0,107136276
42;6,746;0,1124333333;1674816032,5;0,107123864
43;6,855;0,11425;1674816032,595;0,107162169
44;6,95;0,1158333333;1674816032,688;0,107154324
45;7,043;0,1173833333;1674816032,782;0,107148504
46;7,142;0,1190333333;1674816032,876;0,0895899305
47;7,247;0,1207833333;1674816032,99;0,0896040741
48;7,345;0,1224166667;1674816033,084;0,089595308
49;7,443;0,12405;1674816033,196;0,0895890465
50;7,551;0,12585;1674816033,288;0,0895984756
51;7,643;0,1273833333;1674816033,382;0,0896104092
52;7,744;0,1290666667;1674816033,486;0,0895897832
53;7,841;0,1306833333;1674816033,58;0,0896188438
54;7,943;0,1323833333;1674816033,69;0,0896204644
55;8,045;0,1340833333;1674816033,796;0,0895980336
56;8,151;0,13585;1674816033,888;0,0895833744
57;8,243;0,1373833333;1674816033,997;0,0895833007
58;8,352;0,1392;1674816034,089;0,0895697833
59;8,444;0,1407333333;1674816034,186;0,0896097462
60;8,541;0,14235;1674816034,278;0,0895672787
61;8,643;0,14405;1674816034,389;0,0895974075
62;8,744;0,1457333333;1674816034,484;0,0896095989
63;8,843;0,1473833333;1674816034,579;0,0896003172
64;8,943;0,14905;1674816034,689;0,0896078678
65;9,044;0,1507333333;1674816034,816;0,0895868734
66;9,171;0,15285;1674816034,908;0,0895852897
67;9,263;0,1543833333;1674816035,002;0,0896012748
68;9,357;0,15595;1674816035,096;0,0895937242
69;9,451;0,1575166667;1674816035,188;0,0895912565
70;9,543;0,15905;1674816035,284;0,0896024535
71;9,642;0,1607;1674816035,394;0,0896157867
72;9,749;0,1624833333;1674816035,502;0,0895955658
73;9,857;0,1642833333;1674816035,595;0,0896333925
74;9,95;0,1658333333;1674816035,69;0,0895877943
75;10,045;0,1674166667;1674816035,783;0,0896028586
76;10,143;0,16905;1674816035,877;0,0896021956
77;10,243;0,1707166667;1674816035,988;0,0896031901
78;10,343;0,1723833333;1674816036,083;0,0896037426
79;10,442;0,1740333333;1674816036,177;0,0896103356
80;10,543;0,1757166667;1674816036,291;0,0895971496
81;10,646;0,1774333333;1674816036,405;0,0896048476
82;10,76;0,1793333333;1674816036,501;0,089595971
83;10,856;0,1809333333;1674816036,597;0,0896000962
84;10,952;0,1825333333;1674816036,69;0,0895798017
85;11,045;0,1840833333;1674816036,784;0,0896017537
86;11,143;0,1857166667;1674816036,88;0,0896011275
87;11,242;0,1873666667;1674816036,991;0,0896112195
88;11,346;0,1891;1674816037,083;0,089602343
89;11,442;0,1907;1674816037,193;0,0895793228
90;11,548;0,1924666667;1674816037,29;0,0896093043
91;11,645;0,1940833333;1674816037,383;0,0895867998
92;11,743;0,1957166667;1674816037,478;0,0896040004
93;11,842;0,1973666667;1674816037,588;0,0895835585
94;11,943;0,19905;1674816037,682;0,0896351973
95;12,043;0,2007166667;1674816037,792;0,0896020483
96;12,147;0,20245;1674816037,889;0,0896186228
97;12,244;0,2040666667;1674816038,002;0,107065742
98;12,357;0,20595;1674816038,096;0,107100843
99;12,451;0,2075166667;1674816038,19;0,10709053
100;12,545;0,2090833333;1674816038,284;0,107132961
101;12,643;0,2107166667;1674816038,38;0,107113587
102;12,742;0,2123666667;1674816038,487;0,107134766
103;12,842;0,2140333333;1674816038,581;0,107161432
104;12,943;0,2157166667;1674816038,691;0,107162059
105;13,046;0,2174333333;1674816038,784;0,107146626
106;13,142;0,2190333333;1674816038,893;0,107161285
107;13,248;0,2208;1674816039,002;0,0896106302
108;13,357;0,2226166667;1674816039,096;0,089591809
109;13,451;0,2241833333;1674816039,192;0,0895734665
110;13,547;0,2257833333;1674816039,286;0,0895979231
111;13,641;0,22735;1674816039,38;0,089616818
112;13,743;0,22905;1674816039,49;0,0896199119
113;13,845;0,23075;1674816039,585;0,0895987702
114;13,943;0,2323833333;1674816039,693;0,0895988071
115;14,048;0,2341333333;1674816039,787;0,0896347185
116;14,142;0,2357;1674816039,91;0,0895941294
117;14,265;0,23775;1674816040,005;0,0895956763
