"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,031;0,0005166667;1674821670,417;0,0890658819
1;0,194;0,0032333333;1674821670,553;0,0890758266
2;0,327;0,00545;1674821670,743;0,0890661766
3;0,517;0,0086166667;1674821670,926;0,0890821249
4;0,7;0,0116666667;1674821671,025;0,0890717014
5;0,799;0,0133166667;1674821671,129;0,0890686812
6;0,903;0,01505;1674821671,219;0,0890798782
7;0,993;0,01655;1674821671,311;0,0890694915
8;1,085;0,0180833333;1674821671,406;0,0890679814
9;1,18;0,0196666667;1674821671,509;0,0890816093
10;1,283;0,0213833333;1674821671,6;0,0890760108
11;1,374;0,0229;1674821671,698;0,0891061764
12;1,472;0,0245333333;1674821671,792;0,089085845
13;1,566;0,0261;1674821671,893;0,0890768948
14;1,667;0,0277833333;1674821671,994;0,089081904
15;1,768;0,0294666667;1674821672,086;0,0890822354
16;1,86;0,031;1674821672,178;0,0890749427
17;1,952;0,0325333333;1674821672,281;0,0890642245
18;2,055;0,03425;1674821672,374;0,0890676867
19;2,148;0,0358;1674821672,477;0,0890756056
20;2,251;0,0375166667;1674821672,571;0,0890725854
21;2,345;0,0390833333;1674821672,67;0,0890859923
22;2,444;0,0407333333;1674821672,765;0,0890716278
23;2,539;0,0423166667;1674821672,857;0,0890826774
24;2,631;0,04385;1674821672,949;0,0890666554
25;2,723;0,0453833333;1674821673,041;0,0890747953
26;2,815;0,0469166667;1674821673,135;0,0890679445
27;2,909;0,0484833333;1674821673,229;0,0890815356
28;3,003;0,05005;1674821673,322;0,0890912962
29;3,096;0,0516;1674821673,414;0,0890865448
30;3,188;0,0531333333;1674821673,508;0,0890789205
31;3,282;0,0547;1674821673,601;0,0890722539
32;3,375;0,05625;1674821673,695;0,0890478342
33;3,469;0,0578166667;1674821673,788;0,0890944269
34;3,562;0,0593666667;1674821673,883;0,0890774841
35;3,657;0,06095;1674821673,975;0,0890730642
36;3,749;0,0624833333;1674821674,079;0,0890700072
37;3,853;0,0642166667;1674821674,178;0,0890774841
38;3,952;0,0658666667;1674821674,267;0,106508545
39;4,041;0,06735;1674821674,361;0,106562872
40;4,135;0,0689166667;1674821674,452;0,106574622
41;4,226;0,0704333333;1674821674,545;0,106593222
