"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,078;0,0013;1674825598,465;0,11109478
1;0,204;0,0034;1674825598,613;0,111118832
2;0,352;0,0058666667;1674825598,801;0,111157321
3;0,54;0,009;1674825598,992;0,111131465
4;0,731;0,0121833333;1674825599,136;0,111082331
5;0,875;0,0145833333;1674825599,239;0,111180489
6;0,978;0,0163;1674825599,348;0,11121861
7;1,087;0,0181166667;1674825599,443;0,111149071
8;1,182;0,0197;1674825599,537;0,111194632
9;1,276;0,0212666667;1674825599,63;0,11098723
10;1,369;0,0228166667;1674825599,724;0,111161041
11;1,463;0,0243833333;1674825599,818;0,111137874
12;1,557;0,02595;1674825599,91;0,111005941
13;1,649;0,0274833333;1674825600,003;0,111137653
14;1,742;0,0290333333;1674825600,097;0,111180415
15;1,836;0,0306;1674825600,19;0,111014412
16;1,929;0,03215;1674825600,284;0,111190433
17;2,023;0,0337166667;1674825600,373;0,0845952629
18;2,112;0,0352;1674825600,463;0,0846126477
19;2,202;0,0367;1674825600,556;0,084613016
20;2,295;0,03825;1674825600,664;0,0845981726
21;2,403;0,04005;1674825600,772;0,0846072702
22;2,511;0,04185;1674825600,865;0,0845782096
23;2,604;0,0434;1674825600,963;0,0845857602
24;2,702;0,0450333333;1674825601,068;0,0845712483
25;2,807;0,0467833333;1674825601,161;0,0846039185
26;2,9;0,0483333333;1674825601,253;0,0846363308
27;2,992;0,0498666667;1674825601,356;0,0846123899
28;3,095;0,0515833333;1674825601,465;0,0846079332
29;3,204;0,0534;1674825601,573;0,0846122057
30;3,312;0,0552;1674825601,666;0,0846028135
31;3,405;0,05675;1674825601,756;0,0846014507
32;3,495;0,05825;1674825601,849;0,0846159994
33;3,588;0,0598;1674825601,946;0,0846155206
34;3,685;0,0614166667;1674825602,048;0,0845986146
35;3,787;0,0631166667;1674825602,144;0,0846135317
36;3,883;0,0647166667;1674825602,238;0,0846173991
37;3,977;0,0662833333;1674825602,348;0,0846199036
38;4,087;0,0681166667;1674825602,441;0,0846125372
39;4,18;0,0696666667;1674825602,539;0,0846064599
40;4,278;0,0713;1674825602,633;0,0846227766
41;4,372;0,0728666667;1674825602,726;0,084646607
42;4,465;0,0744166667;1674825602,819;0,0846293695
43;4,558;0,0759666667;1674825602,913;0,0845990198
44;4,652;0,0775333333;1674825603,004;0,0846050971
45;4,743;0,07905;1674825603,099;0,0846453179
46;4,838;0,0806333333;1674825603,191;0,0846112481
47;4,93;0,0821666667;1674825603,283;0,0846281909
48;5,022;0,0837;1674825603,374;0,0846332001
49;5,113;0,0852166667;1674825603,48;0,0846064231
50;5,219;0,0869833333;1674825603,579;0,0846224451
51;5,318;0,0886333333;1674825603,677;0,0846345997
52;5,416;0,0902666667;1674825603,769;0,084597436
53;5,508;0,0918;1674825603,862;0,0846185409
54;5,601;0,09335;1674825603,955;0,0846182462
55;5,694;0,0949;1674825604,048;0,0846031818
56;5,787;0,09645;1674825604,143;0,0846098485
57;5,882;0,0980333333;1674825604,237;0,084598762
58;5,976;0,0996;1674825604,329;0,0845956681
59;6,068;0,1011333333;1674825604,421;0,0846046919
60;6,16;0,1026666667;1674825604,515;0,0846118374
61;6,254;0,1042333333;1674825604,612;0,0846239552
62;6,351;0,10585;1674825604,706;0,0846246182
63;6,445;0,1074166667;1674825604,814;0,084620051
64;6,553;0,1092166667;1674825604,907;0,0845855392
65;6,654;0,1109;1674825605,014;0,084602482
66;6,753;0,11255;1674825605,202;0,0846066809
67;6,941;0,1156833333;1674825605,291;0,0845937528
68;7,03;0,1171666667;1674825605,382;0,0846175096
69;7,121;0,1186833333;1674825605,478;0,0845973255
70;7,217;0,1202833333;1674825605,57;0,0846331264
71;7,309;0,1218166667;1674825605,664;0,0846167729
72;7,403;0,1233833333;1674825605,776;0,0846107693
73;7,515;0,12525;1674825605,886;0,084618504
74;7,625;0,1270833333;1674825605,979;0,0846085225
75;7,718;0,1286333333;1674825606,071;0,0846106219
76;7,81;0,1301666667;1674825606,167;0,084612353
77;7,906;0,1317666667;1674825606,26;0,0845964415
78;7,999;0,1333166667;1674825606,352;0,0846306218
79;8,091;0,13485;1674825606,444;0,0845996091
80;8,183;0,1363833333;1674825606,536;0,0846100694
81;8,275;0,1379166667;1674825606,629;0,0846059074
82;8,368;0,1394666667;1674825606,723;0,0846220031
83;8,462;0,1410333333;1674825606,851;0,084604029
84;8,59;0,1431666667;1674825606,943;0,0845841764
85;8,682;0,1447;1674825607,037;0,0845846184
86;8,776;0,1462666667;1674825607,132;0,084613458
87;8,871;0,14785;1674825607,224;0,0845858707
88;8,963;0,1493833333;1674825607,318;0,0845929056
89;9,057;0,15095;1674825607,411;0,0845961469
90;9,154;0,1525666667;1674825607,521;0,0845943053
91;9,26;0,1543333333;1674825607,63;0,0846232922
92;9,369;0,15615;1674825607,724;0,0846197195
93;9,463;0,1577166667;1674825607,823;0,084612132
94;9,562;0,1593666667;1674825607,914;0,0846107693
95;9,653;0,1608833333;1674825608,006;0,0846110639
96;9,754;0,1625666667;1674825608,115;0,084614342
97;9,854;0,1642333333;1674825608,207;0,0845886699
98;9,954;0,1659;1674825608,337;0,0845974728
99;10,076;0,1679333333;1674825608,43;0,0845980621
100;10,169;0,1694833333;1674825608,522;0,0846275647
101;10,261;0,1710166667;1674825608,618;0,0845860548
102;10,357;0,1726166667;1674825608,709;0,0846334211
103;10,455;0,17425;1674825608,818;0,0845848394
104;10,557;0,17595;1674825608,94;0,0845812667
105;10,679;0,1779833333;1674825609,032;0,0845993881
106;10,771;0,1795166667;1674825609,127;0,0845771415
107;10,866;0,1811;1674825609,218;0,0846020032
108;10,957;0,1826166667;1674825609,308;0,0845673809
109;11,054;0,1842333333;1674825609,416;0,0845959259
110;11,155;0,1859166667;1674825609,508;0,0845660181
111;11,255;0,1875833333;1674825609,616;0,0845886331
112;11,355;0,18925;1674825609,732;0,0846276016
113;11,471;0,1911833333;1674825609,825;0,0846164046
114;11,564;0,1927333333;1674825609,916;0,0846076385
115;11,655;0,19425;1674825610,009;0,0845962942
116;11,754;0,1959;1674825610,119;0,0845912482
117;11,858;0,1976333333;1674825610,212;0,0846091855
118;11,954;0,1992333333;1674825610,308;0,0845868652
119;12,055;0,2009166667;1674825610,432;0,084624434
120;12,171;0,20285;1674825610,524;0,0845926478
121;12,263;0,2043833333;1674825610,616;0,0845740476
122;12,355;0,2059166667;1674825610,714;0,0845774729
123;12,453;0,20755;1674825610,805;0,0845821506
124;12,555;0,20925;1674825610,913;0,0845882648
125;12,655;0,2109166667;1674825611,006;0,0845760733
126;12,755;0,2125833333;1674825611,131;0,0846112849
127;12,87;0,2145;1674825611,223;0,0845929056
128;12,962;0,2160333333;1674825611,325;0,0846040658
129;13,064;0,2177333333;1674825611,418;0,0846151155
130;13,157;0,2192833333;1674825611,511;0,084574158
131;13,254;0,2209;1674825611,618;0,0845767363
132;13,357;0,2226166667;1674825611,711;0,0845858707
133;13,455;0,22425;1674825611,824;0,0845932371
134;13,563;0,22605;1674825611,934;0,084591727
135;13,673;0,2278833333;1674825612,027;0,0845946368
136;13,766;0,2294333333;1674825612,119;0,0846057969
137;13,858;0,2309666667;1674825612,214;0,0846111376
138;13,953;0,23255;1674825612,311;0,0845848026
139;14,054;0,2342333333;1674825612,419;0,0845869757
140;14,158;0,2359666667;1674825612,511;0,0846029608
141;14,255;0,2375833333;1674825612,634;0,0846214874
142;14,373;0,23955;1674825612,733;0,0846046551
143;14,472;0,2412;1674825612,826;0,0845868283
144;14,565;0,24275;1674825612,92;0,0845954102
145;14,659;0,2443166667;1674825613,012;0,0846055023
146;14,754;0,2459;1674825613,105;0,0845903642
147;14,854;0,2475666667;1674825613,227;0,0846287802
148;14,966;0,2494333333;1674825613,341;0,084607086
149;15,08;0,2513333333;1674825613,433;0,0846112849
150;15,172;0,2528666667;1674825613,528;0,0845960364
151;15,267;0,25445;1674825613,621;0,0845816718
152;15,36;0,256;1674825613,719;0,0846055759
153;15,458;0,2576333333;1674825613,81;0,0845833661
154;15,555;0,25925;1674825613,916;0,0846205298
155;15,655;0,2609166667;1674825614,027;0,0846000511
156;15,766;0,2627666667;1674825614,118;0,0845976202
157;15,857;0,2642833333;1674825614,219;0,084595889
158;15,958;0,2659666667;1674825614,31;0,0845751893
159;16,055;0,2675833333;1674825614,418;0,0846154101
160;16,157;0,2692833333;1674825614,511;0,0846021137
161;16,255;0,2709166667;1674825614,62;0,0846043605
162;16,359;0,27265;1674825614,713;0,0845959995
163;16,455;0,27425;1674825614,837;0,0846032555
164;16,576;0,2762666667;1674825614,931;0,084582519
165;16,67;0,2778333333;1674825615,023;0,0846112112
166;16,762;0,2793666667;1674825615,116;0,0846144156
167;16,855;0,2809166667;1674825615,207;0,0845956312
168;16,955;0,2825833333;1674825615,326;0,084580972
169;17,065;0,2844166667;1674825615,417;0,0846053181
170;17,156;0,2859333333;1674825615,526;0,0846046183
171;17,265;0,28775;1674825615,621;0,0846283014
172;17,36;0,2893333333;1674825615,719;0,0845903642
173;17,458;0,2909666667;1674825615,81;0,0845911745
174;17,555;0,2925833333;1674825615,917;0,0846108798
175;17,656;0,2942666667;1674825616,011;0,0845923163
176;17,755;0,2959166667;1674825616,117;0,0845990198
177;17,856;0,2976;1674825616,225;0,0846208981
178;17,964;0,2994;1674825616,333;0,0846207876
179;18,072;0,3012;1674825616,424;0,084606865
180;18,163;0,3027166667;1674825616,517;0,084585797
181;18,256;0,3042666667;1674825616,608;0,0846031818
182;18,355;0,3059166667;1674825616,716;0,0846304745
183;18,455;0,3075833333;1674825616,81;0,0846097011
184;18,554;0,3092333333;1674825616,921;0,0845943789
185;18,66;0,311;1674825617,045;0,0845855024
186;18,784;0,3130666667;1674825617,138;0,0845836608
187;18,877;0,3146166667;1674825617,236;0,0846143788
188;18,975;0,31625;1674825617,329;0,0845899591
189;19,068;0,3178;1674825617,422;0,0845808247
190;19,161;0,31935;1674825617,514;0,0845803827
191;19,253;0,3208833333;1674825617,606;0,0845756682
192;19,355;0,3225833333;1674825617,731;0,0846071597
193;19,47;0,3245;1674825617,829;0,084576589
194;19,568;0,3261333333;1674825617,921;0,0846142315
195;19,66;0,3276666667;1674825618,014;0,0846012665
196;19,753;0,3292166667;1674825618,108;0,0845823716
197;19,854;0,3309;1674825618,214;0,0846166256
