"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,079;0,0013166667;1674825931,663;0,11112141
1;0,222;0,0037;1674825931,816;0,111269107
2;0,376;0,0062666667;1674825931,956;0,111067524
3;0,515;0,0085833333;1674825932,127;0,11079736
4;0,686;0,0114333333;1674825932,297;0,111185461
5;0,856;0,0142666667;1674825932,468;0,111061999
6;1,027;0,0171166667;1674825932,563;0,111192754
7;1,122;0,0187;1674825932,656;0,111051134
8;1,215;0,02025;1674825932,755;0,111123804
9;1,314;0,0219;1674825932,847;0,111212864
10;1,406;0,0234333333;1674825932,953;0,111160636
11;1,512;0,0252;1674825933,091;0,111174596
12;1,65;0,0275;1674825933,183;0,111062662
13;1,742;0,0290333333;1674825933,276;0,111112902
14;1,835;0,0305833333;1674825933,376;0,111219015
15;1,935;0,03225;1674825933,471;0,111127929
16;2,03;0,0338333333;1674825933,588;0,111140194
17;2,147;0,0357833333;1674825933,697;0,110968924
18;2,256;0,0376;1674825933,788;0,111089439
19;2,347;0,0391166667;1674825933,884;0,111034854
20;2,443;0,0407166667;1674825933,987;0,111011466
21;2,546;0,0424333333;1674825934,096;0,111183251
22;2,655;0,04425;1674825934,22;0,111121852
23;2,779;0,0463166667;1674825934,318;0,0842744544
24;2,877;0,04795;1674825934,419;0,0842571433
25;2,978;0,0496333333;1674825934,527;0,0843036624
26;3,086;0,0514333333;1674825934,652;0,0843001633
27;3,211;0,0535166667;1674825934,745;0,0842737546
28;3,304;0,0550666667;1674825934,835;0,0843022996
29;3,394;0,0565666667;1674825934,929;0,0842951909
30;3,488;0,0581333333;1674825935,021;0,0842942333
31;3,58;0,0596666667;1674825935,114;0,0842825943
32;3,673;0,0612166667;1674825935,223;0,0842888558
33;3,782;0,0630333333;1674825935,336;0,0843032204
34;3,895;0,0649166667;1674825935,441;0,0843228151
35;4;0,0666666667;1674825935,533;0,0842940123
36;4,092;0,0682;1674825935,625;0,0843301447
37;4,184;0,0697333333;1674825935,72;0,0842946016
38;4,279;0,0713166667;1674825935,813;0,0843098133
39;4,372;0,0728666667;1674825935,908;0,0842982112
40;4,467;0,07445;1674825936,002;0,0843002738
41;4,561;0,0760166667;1674825936,095;0,0842925759
42;4,654;0,0775666667;1674825936,203;0,0842978429
43;4,762;0,0793666667;1674825936,318;0,0842923917
44;4,877;0,0812833333;1674825936,411;0,0842880823
45;4,97;0,0828333333;1674825936,504;0,0843040675
46;5,063;0,0843833333;1674825936,597;0,0842851358
47;5,156;0,0859333333;1674825936,69;0,0842919129
48;5,249;0,0874833333;1674825936,787;0,0843006789
49;5,346;0,0891;1674825936,883;0,0842857251
50;5,442;0,0907;1674825937;0,0843134597
