"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,156;0,0026;1674827737,94;0,0829383294
1;0,301;0,0050166667;1674827738,158;0,082913615
2;0,519;0,00865;1674827738,397;0,0827335056
3;0,758;0,0126333333;1674827738,598;0,154159101
4;0,959;0,0159833333;1674827738,8;0,154232287
5;1,161;0,01935;1674827739,093;0,154249856
6;1,454;0,0242333333;1674827739,267;0,154267314
7;1,628;0,0271333333;1674827739,419;0,154283189
8;1,78;0,0296666667;1674827739,587;0,154281127
9;1,948;0,0324666667;1674827739,756;0,154294644
10;2,117;0,0352833333;1674827739,914;0,154301753
11;2,275;0,0379166667;1674827740,052;0,154309009
12;2,413;0,0402166667;1674827740,209;0,154306762
13;2,57;0,0428333333;1674827740,349;0,154321421
14;2,71;0,0451666667;1674827740,535;0,154321384
15;2,896;0,0482666667;1674827740,707;0,154330887
16;3,068;0,0511333333;1674827740,863;0,154347756
17;3,224;0,0537333333;1674827740,999;0,154333428
18;3,36;0,056;1674827741,156;0,154333612
19;3,517;0,0586166667;1674827741,296;0,154346504
20;3,719;0,0619833333;1674827741,5;0,154353686
21;3,918;0,0653;1674827741,724;0,154368124
22;4,118;0,0686333333;1674827741,911;0,154360942
23;4,319;0,0719833333;1674827742,131;0,154360353
24;4,518;0,0753;1674827742,322;0,154347682
25;4,718;0,0786333333;1674827742,492;0,154350371
26;4,919;0,0819833333;1674827742,681;0,154362121
27;5,119;0,0853166667;1674827742,886;0,154364957
28;5,325;0,08875;1674827743,123;0,154362231
29;5,518;0,0919666667;1674827743,322;0,154385141
30;5,718;0,0953;1674827743,525;0,154371623
31;5,918;0,0986333333;1674827743,71;0,154360684
32;6,118;0,1019666667;1674827743,928;0,15436934
33;6,319;0,1053166667;1674827744,099;0,154372691
34;6,518;0,1086333333;1674827744,285;0,154379137
35;6,719;0,1119833333;1674827744,505;0,15438794
36;6,919;0,1153166667;1674827744,694;0,154392949
37;7,118;0,1186333333;1674827744,927;0,154400242
38;7,319;0,1219833333;1674827745,127;0,154397148
39;7,518;0,1253;1674827745,313;0,154399137
40;7,718;0,1286333333;1674827745,5;0,154392323
41;7,919;0,1319833333;1674827745,688;0,15440584
42;8,119;0,1353166667;1674827745,892;0,154407093
43;8,318;0,1386333333;1674827746,127;0,154406503
44;8,518;0,1419666667;1674827746,316;0,154408787
45;8,723;0,1453833333;1674827746,549;0,154410187
46;8,919;0,14865;1674827746,721;0,154412765
47;9,119;0,1519833333;1674827746,908;0,15441678
48;9,318;0,1553;1674827747,093;0,154416301
49;9,519;0,15865;1674827747,294;0,154423152
50;9,719;0,1619833333;1674827747,512;0,154425582
51;9,918;0,1653;1674827747,714;0,154425656
52;10,118;0,1686333333;1674827747,918;0,154435048
53;10,318;0,1719666667;1674827748,103;0,154435969
54;10,519;0,1753166667;1674827748,279;0,154436448
55;10,719;0,17865;1674827748,526;0,154440978
56;10,919;0,1819833333;1674827748,729;0,154435269
57;11,118;0,1853;1674827748,935;0,154436374
58;11,318;0,1886333333;1674827749,108;0,154433059
59;11,518;0,1919666667;1674827749,294;0,154438179
60;11,719;0,1953166667;1674827749,481;0,154440794
61;11,918;0,1986333333;1674827749,729;0,154455085
62;12,119;0,2019833333;1674827749,96;0,154444883
63;12,321;0,20535;1674827750,115;0,154436411
64;12,518;0,2086333333;1674827750,296;0,154437774
65;12,719;0,2119833333;1674827750,485;0,154445546
66;12,918;0,2153;1674827750,686;0,154454827
67;13,125;0,21875;1674827750,921;0,154449155
68;13,318;0,2219666667;1674827751,122;0,154452138
69;13,518;0,2253;1674827751,311;0,154455011
70;13,719;0,22865;1674827751,529;0,154450776
71;13,919;0,2319833333;1674827751,713;0,154461347
72;14,119;0,2353166667;1674827751,884;0,154458952
73;14,319;0,23865;1674827752,102;0,154448639
74;14,519;0,2419833333;1674827752,288;0,154463704
75;14,719;0,2453166667;1674827752,522;0,154459137
76;14,919;0,24865;1674827752,728;0,154461457
77;15,118;0,2519666667;1674827752,913;0,154478289
78;15,319;0,2553166667;1674827753,082;0,154475637
79;15,518;0,2586333333;1674827753,296;0,154463299
80;15,72;0,262;1674827753,515;0,154470812
81;15,919;0,2653166667;1674827753,714;0,154466908
82;16,118;0,2686333333;1674827753,917;0,154466835
83;16,318;0,2719666667;1674827754,103;0,15447479
84;16,519;0,2753166667;1674827754,294;0,154472065
85;16,719;0,27865;1674827754,5;0,154469707
86;16,919;0,2819833333;1674827754,687;0,154478179
87;17,119;0,2853166667;1674827754,938;0,154465545
88;17,318;0,2886333333;1674827755,123;0,154478989
89;17,519;0,2919833333;1674827755,296;0,15447991
90;17,719;0,2953166667;1674827755,498;0,154487866
91;17,918;0,2986333333;1674827755,701;0,154476043
92;18,118;0,3019666667;1674827755,916;0,154493833
93;18,324;0,3054;1674827756,134;0,154471291
94;18,519;0,30865;1674827756,326;0,154475343
95;18,718;0,3119666667;1674827756,5;0,154482341
96;18,918;0,3153;1674827756,684;0,154485287
97;19,119;0,31865;1674827756,901;0,154484956
98;19,319;0,3219833333;1674827757,119;0,154491954
99;19,518;0,3253;1674827757,341;0,154489118
100;19,719;0,32865;1674827757,526;0,154498731
101;19,918;0,3319666667;1674827757,713;0,154492728
102;20,119;0,3353166667;1674827757,889;0,154496079
103;20,318;0,3386333333;1674827758,106;0,154490554
104;20,529;0,34215;1674827758,339;0,154493538
105;20,719;0,3453166667;1674827758,494;0,154491549
106;20,919;0,34865;1674827758,728;0,154491623
107;21,118;0,3519666667;1674827758,932;0,154489781
108;21,318;0,3553;1674827759,118;0,154492175
109;21,519;0,35865;1674827759,305;0,154488308
110;21,719;0,3619833333;1674827759,493;0,154509855
111;21,918;0,3653;1674827759,695;0,154499615
112;22,118;0,3686333333;1674827759,882;0,154507902
113;22,319;0,3719833333;1674827760,114;0,154502783
114;22,519;0,3753166667;1674827760,315;0,154509781
115;22,719;0,37865;1674827760,533;0,154505435
116;22,918;0,3819666667;1674827760,717;0,154506503
117;23,118;0,3853;1674827760,893;0,154505582
118;23,319;0,38865;1674827761,082;0,154508786
119;23,519;0,3919833333;1674827761,287;0,154511144
120;23,718;0,3953;1674827761,521;0,154522341
121;23,919;0,39865;1674827761,722;0,154525398
122;24,118;0,4019666667;1674827761,924;0,154525803
123;24,318;0,4053;1674827762,126;0,154528676
124;24,518;0,4086333333;1674827762,313;0,154527424
125;24,721;0,4120166667;1674827762,486;0,154536963
126;24,926;0,4154333333;1674827762,707;0,154522967
127;25,118;0,4186333333;1674827762,895;0,154518473
