"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,094;0,0015666667;1674651330,475;0,114287653
1;0,42;0,007;1674651330,859;0,114298703
2;0,803;0,0133833333;1674651331,409;0,114301097
3;1,353;0,02255;1674651331,797;0,114306254
4;1,741;0,0290166667;1674651332,061;0,114298371
5;2,005;0,0334166667;1674651332,31;0,114308463
6;2,254;0,0375666667;1674651332,559;0,114296125
7;2,503;0,0417166667;1674651332,871;0,114297451
8;2,815;0,0469166667;1674651333,129;0,114304854
9;3,073;0,0512166667;1674651333,377;0,1143099
10;3,321;0,05535;1674651333,64;0,114302754
11;3,584;0,0597333333;1674651333,886;0,114306106
12;3,83;0,0638333333;1674651334,141;0,114308537
13;4,085;0,0680833333;1674651334,403;0,114306106
14;4,347;0,07245;1674651334,683;0,131958676
15;4,627;0,0771166667;1674651334,934;0,132088178
16;4,878;0,0813;1674651335,189;0,132101953
17;5,133;0,08555;1674651335,437;0,132110572
18;5,435;0,0905833333;1674651335,64;0,114295793
19;5,74;0,0956666667;1674651336,001;0,11430316
20;6,035;0,1005833333;1674651336,252;0,11431443
21;6,334;0,1055666667;1674651336,566;0,114307285
22;6,634;0,1105666667;1674651336,888;0,114301244
23;6,941;0,1156833333;1674651337,199;0,11430095
24;7,237;0,1206166667;1674651337,435;0,114298445
25;7,534;0,1255666667;1674651337,831;0,114298261
26;7,835;0,1305833333;1674651338,026;0,114298408
27;8,135;0,1355833333;1674651338,412;0,114299292
28;8,435;0,1405833333;1674651338,632;0,114297635
29;8,734;0,1455666667;1674651338,995;0,114303012
30;9,035;0,1505833333;1674651339,244;0,114292478
31;9,334;0,1555666667;1674651339,605;0,114311152
32;9,634;0,1605666667;1674651339,892;0,114323749
33;9,935;0,1655833333;1674651340,143;0,132098491
34;10,234;0,1705666667;1674651340,522;0,132127957
35;10,535;0,1755833333;1674651340,807;0,114305112
36;10,836;0,1806;1674651341,028;0,114300802
37;11,134;0,1855666667;1674651341,421;0,114316088
38;11,435;0,1905833333;1674651341,703;0,114315056
39;11,735;0,1955833333;1674651341,987;0,114305885
40;12,04;0,2006666667;1674651342,3;0,114309716
41;12,335;0,2055833333;1674651342,535;0,11429944
42;12,635;0,2105833333;1674651342,928;0,114314172
43;12,935;0,2155833333;1674651343,145;0,114313252
44;13,235;0,2205833333;1674651343,441;0,114311263
45;13,534;0,2255666667;1674651343,804;0,114315793
46;13,835;0,2305833333;1674651344,09;0,114309826
47;14,134;0,2355666667;1674651344,337;0,114303602
48;14,434;0,2405666667;1674651344,712;0,114307358
49;14,735;0,2455833333;1674651344,932;0,114312183
50;15,034;0,2505666667;1674651345,306;0,132085231
51;15,334;0,2555666667;1674651345,541;0,132115655
52;15,634;0,2605666667;1674651345,913;0,132127515
53;15,934;0,2655666667;1674651346,207;0,114308537
54;16,234;0,2705666667;1674651346,491;0,114300876
55;16,534;0,2755666667;1674651346,787;0,114305149
56;16,84;0,2806666667;1674651347,088;0,114310858
57;17,141;0,2856833333;1674651347,339;0,114310379
58;17,44;0,2906666667;1674651347,729;0,114319403
59;17,736;0,2956;1674651347,95;0,114312331
60;18,034;0,3005666667;1674651348,266;0,114308316
61;18,334;0,3055666667;1674651348,597;0,114306548
62;18,635;0,3105833333;1674651348,929;0,114311042
63;18,935;0,3155833333;1674651349,133;0,114308463
64;19,234;0,3205666667;1674651349,511;0,114313951
65;19,535;0,3255833333;1674651349,763;0,114311373
66;19,834;0,3305666667;1674651350,094;0,114312441
67;20,135;0,3355833333;1674651350,346;0,13201385
68;20,434;0,3405666667;1674651350,723;0,132120885
69;20,735;0,3455833333;1674651350,96;0,132124826
70;21,045;0,35075;1674651351,276;0,114310489
71;21,334;0,3555666667;1674651351,586;0,114312883
72;21,639;0,36065;1674651351,836;0,114310379
73;21,934;0,3655666667;1674651352,229;0,114316898
74;22,235;0,3705833333;1674651352,417;0,114311005
75;22,534;0,3755666667;1674651352,809;0,114313215
76;22,846;0,3807666667;1674651353,056;0,114314578
77;23,134;0,3855666667;1674651353,37;0,114326143
78;23,439;0,39065;1674651353,697;0,114319845
79;23,734;0,3955666667;1674651353,932;0,114317929
80;24,034;0,4005666667;1674651354,325;0,114325112
81;24,335;0,4055833333;1674651354,525;0,114318077
82;24,634;0,4105666667;1674651354,904;0,114322018
83;24,934;0,4155666667;1674651355,158;0,114309568
84;25,234;0,4205666667;1674651355,472;0,114321428
85;25,534;0,4255666667;1674651355,752;0,132097607
86;25,834;0,4305666667;1674651356,133;0,132136096
87;26,134;0,4355666667;1674651356,352;0,132133997
88;26,434;0,4405666667;1674651356,667;0,114316935
89;26,734;0,4455666667;1674651356,994;0,114313473
90;27,034;0,4505666667;1674651357,23;0,114316309
91;27,334;0,4555666667;1674651357,624;0,114317193
92;27,634;0,4605666667;1674651357,811;0,114317266
93;27,935;0,4655833333;1674651358,22;0,114322791
94;28,235;0,4705833333;1674651358,502;0,114313141
95;28,534;0,4755666667;1674651358,785;0,114324154
96;28,838;0,4806333333;1674651359,029;0,114316419
97;29,134;0,4855666667;1674651359,419;0,114313215
