index;time;minutes;dateTime;SDM3045X.CurrentDC
0;0,125;0,002083333;1674468485;0,12568722
1;0,277;0,004616667;1674468485;0,125691014
2;0,467;0,007783333;1674468485;0,125691345
3;0,653;0,010883333;1674468485;0,125682247
4;0,838;0,013966667;1674468485;0,125668656
5;1,044;0,0174;1674468486;0,125674992
6;1,217;0,020283333;1674468486;0,144780444
7;1,424;0,023733333;1674468486;0,144817092
8;1,596;0,0266;1674468486;0,144818897
9;1,738;0,028966667;1674468486;0,144828179
10;1,877;0,031283333;1674468487;0,144837902
11;2,057;0,034283333;1674468487;0,125667515
12;2,212;0,036866667;1674468487;0,125680774
13;2,336;0,038933333;1674468487;0,125680922
14;2,483;0,041383333;1674468487;0,125681769
15;2,623;0,043716667;1674468487;0,125680406
16;2,795;0,046583333;1674468487;0,125679264
17;2,945;0,049083333;1674468488;0,125684457
18;3,076;0,051266667;1674468488;0,125687514
19;3,226;0,053766667;1674468489;0,125687993
20;4,53;0,0755;1674468489;0,125698748
21;4,732;0,078866667;1674468489;0,125696649
22;4,932;0,0822;1674468490;0,125683389
23;5,132;0,085533333;1674468491;0,125687699
24;6,53;0,108833333;1674468491;0,144843906
25;6,831;0,11385;1674468491;0,125692671
26;7,133;0,118883333;1674468492;0,125699338
27;7,433;0,123883333;1674468492;0,125696281
28;7,731;0,12885;1674468492;0,125695249
29;8,031;0,13385;1674468493;0,12569326
30;8,331;0,13885;1674468493;0,12569396
31;8,631;0,14385;1674468493;0,125685636
32;8,931;0,14885;1674468494;0,125699632
33;9,231;0,15385;1674468494;0,125698785
34;9,532;0,158866667;1674468494;0,125696575
35;9,831;0,16385;1674468494;0,125687809
36;10,131;0,16885;1674468495;0,125694328
37;10,431;0,17385;1674468495;0,142623145
38;10,731;0,17885;1674468495;0,144713373
39;11,031;0,18385;1674468496;0,144824274
40;11,331;0,18885;1674468496;0,144848621
41;11,631;0,19385;1674468496;0,125677828
42;11,931;0,19885;1674468497;0,12569234
43;12,236;0,203933333;1674468497;0,125697717
44;12,532;0,208866667;1674468497;0,125701732
45;12,831;0,21385;1674468497;0,125702505
46;13,131;0,21885;1674468498;0,125701032
47;13,432;0,223866667;1674468498;0,125705304
48;13,732;0,228866667;1674468498;0,125691456
49;14,031;0,23385;1674468499;0,12570431
50;14,332;0,238866667;1674468499;0,125697901
51;14,638;0,243966667;1674468499;0,125701474
52;14,932;0,248866667;1674468500;0,125696317
53;15,231;0,25385;1674468500;0,125694549
54;15,531;0,25885;1674468500;0,144748879
55;15,831;0,26385;1674468500;0,144833998
56;16,131;0,26885;1674468501;0,144840075
57;16,431;0,27385;1674468501;0,125698012
58;16,731;0,27885;1674468501;0,125695507
59;17,032;0,283866667;1674468502;0,125699043
60;17,332;0,288866667;1674468502;0,125704568
61;17,631;0,29385;1674468502;0,125692266
62;17,931;0,29885;1674468503;0,125700074
63;18,231;0,30385;1674468503;0,125703205
64;18,532;0,308866667;1674468503;0,125700258
65;18,831;0,31385;1674468503;0,125700553
66;19,131;0,31885;1674468504;0,125706851
67;19,431;0,32385;1674468504;0,125705857
68;19,731;0,32885;1674468504;0,125705157
69;20,031;0,33385;1674468505;0,125707662
70;20,331;0,33885;1674468505;0,144734809
71;20,631;0,34385;1674468505;0,144841254
72;20,931;0,34885;1674468506;0,144859707
73;21,232;0,353866667;1674468506;0,12569024
74;21,531;0,35885;1674468506;0,12570663
75;21,831;0,36385;1674468506;0,125698196
76;22,131;0,36885;1674468507;0,125704899
77;22,431;0,37385;1674468507;0,125706041
78;22,731;0,37885;1674468507;0,125703684
79;23,031;0,38385;1674468508;0,125695654
80;23,331;0,38885;1674468508;0,125712671
81;23,631;0,39385;1674468508;0,125695728
82;23,931;0,39885;1674468508;0,125710314
83;24,231;0,40385;1674468509;0,125711271
84;24,531;0,40885;1674468509;0,125701732
85;24,836;0,413933333;1674468509;0,125707257
86;25,131;0,41885;1674468510;0,144763833
87;25,43;0,423833333;1674468510;0,144846226
88;25,731;0,42885;1674468510;0,144861696
89;26,031;0,43385;1674468511;0,12570059
90;26,331;0,43885;1674468511;0,125710019
91;26,631;0,44385;1674468511;0,125709908
92;26,931;0,44885;1674468512;0,125704531
93;27,23;0,453833333;1674468512;0,125712118
94;27,531;0,45885;1674468512;0,125710093
95;27,831;0,46385;1674468512;0,12570792
96;28,131;0,46885;1674468513;0,125712155
97;28,431;0,47385;1674468513;0,12572
98;28,731;0,47885;1674468513;0,125714292
99;29,03;0,483833333;1674468514;0,125711897
100;29,331;0,48885;1674468514;0,125716501
101;29,631;0,49385;1674468514;0,12570873
102;29,931;0,49885;1674468515;0,144806079
103;30,231;0,50385;1674468515;0,14484921
104;30,531;0,50885;1674468515;0,14487595
105;30,83;0,513833333;1674468515;0,125700995
106;31,131;0,51885;1674468516;0,125714991
