"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC"
0;0,094;0,0015666667;1674657152,025;0,114447321
1;0,251;0,0041833333;1674657152,212;0,114514908
2;0,438;0,0073;1674657152,4;0,11444629
3;0,626;0,0104333333;1674657152,572;0,114575055
4;0,798;0,0133;1674657152,744;0,114585626
5;0,97;0,0161666667;1674657152,994;0,114494834
6;1,22;0,0203333333;1674657153,119;0,114451372
7;1,345;0,0224166667;1674657153,239;0,114586141
8;1,465;0,0244166667;1674657153,369;0,114581206
9;1,595;0,0265833333;1674657153,496;0,114531814
10;1,722;0,0287;1674657153,639;0,114451299
11;1,865;0,0310833333;1674657153,759;0,114459991
12;1,985;0,0330833333;1674657153,894;0,114454061
13;2,12;0,0353333333;1674657154,002;0,11444408
14;2,228;0,0371333333;1674657154,13;0,132233518
15;2,356;0,0392666667;1674657154,26;0,13228302
16;2,486;0,0414333333;1674657154,374;0,132298342
17;2,6;0,0433333333;1674657154,483;0,132441472
18;2,709;0,04515;1674657154,639;0,132338416
19;2,865;0,04775;1674657154,783;0,132401509
20;3,009;0,05015;1674657154,911;0,132456168
21;3,137;0,0522833333;1674657155,035;0,132367513
22;3,261;0,05435;1674657155,163;0,114442975
23;3,389;0,0564833333;1674657155,29;0,114444374
24;3,516;0,0586;1674657155,422;0,114570304
25;3,648;0,0608;1674657155,532;0,114520212
26;3,758;0,0626333333;1674657155,655;0,114555571
27;3,881;0,0646833333;1674657155,779;0,114447321
28;4,005;0,06675;1674657155,91;0,114484374
29;4,136;0,0689333333;1674657156,063;0,114464779
30;4,289;0,0714833333;1674657156,203;0,114574281
31;4,492;0,0748666667;1674657156,41;0,114459512
32;4,691;0,0781833333;1674657156,596;0,11455395
33;4,89;0,0815;1674657156,769;0,114446069
34;5,09;0,0848333333;1674657156,989;0,114527578
35;5,29;0,0881666667;1674657157,223;0,114450304
36;5,495;0,0915833333;1674657157,397;0,114586252
37;5,69;0,0948333333;1674657157,584;0,1144643
38;5,89;0,0981666667;1674657157,778;0,114486437
39;6,091;0,1015166667;1674657157,999;0,114487247
40;6,291;0,10485;1674657158,184;0,114582237
41;6,491;0,1081833333;1674657158,392;0,114489052
42;6,691;0,1115166667;1674657158,579;0,114561427
43;6,891;0,11485;1674657158,767;0,114592256
44;7,091;0,1181833333;1674657158,958;0,114445848
45;7,293;0,12155;1674657159,194;0,114465516
46;7,49;0,1248333333;1674657159,398;0,114562274
47;7,69;0,1281666667;1674657159,617;0,114460396
48;7,89;0,1315;1674657159,788;0,132184752
49;8,091;0,13485;1674657159,977;0,132292155
50;8,291;0,1381833333;1674657160,184;0,13238313
